rank,team_full,match_total,match_win,match_lose,3-0,3-1,3-2,2-3,1-3,0-3,points,set_won,set_lost,set_ratio,point_won,point_lost,point_ratio,team
1,China,15,12,3,10,1,1,0,1,2,35,37,12,3.083,1153,973,1.184,CHN
2,USA,15,12,3,6,4,2,1,1,1,35,39,17,2.294,1283,1137,1.128,USA
3,Brazil,15,11,4,8,2,1,3,1,0,35,40,16,2.500,1318,1150,1.146,BRA
4,Italy,15,11,4,4,5,2,3,0,1,34,39,21,1.857,1375,1233,1.115,ITA
5,Turkey,15,11,4,7,2,2,1,1,2,32,36,18,2.000,1259,1109,1.135,TUR
6,Poland,15,9,6,1,5,3,2,2,2,26,33,29,1.137,1360,1354,1.004,POL
7,Belgium,15,8,7,3,2,3,1,2,4,22,28,29,0.965,1208,1260,0.958,BEL
8,Dominican Republic,15,8,7,0,4,4,1,5,1,21,31,33,0.939,1422,1437,0.989,DOM
9,Japan,15,7,8,4,3,0,1,4,3,22,27,27,1.000,1225,1213,1.009,JPN
10,Germany,15,7,8,3,3,1,1,1,6,21,24,29,0.827,1169,1180,0.990,GER
11,Netherlands,15,6,9,4,1,1,3,3,3,20,27,30,0.900,1206,1259,0.957,NED
12,Thailand,15,5,10,2,3,0,1,0,9,16,17,33,0.515,1046,1170,0.894,THA
13,Serbia,15,5,10,2,3,0,0,5,5,15,20,33,0.606,1132,1210,0.935,SRB
14,Russia,15,3,12,1,2,0,1,5,6,10,16,38,0.421,1112,1283,0.866,RUS
15,Korea,15,3,12,2,1,0,0,7,5,9,16,37,0.432,1092,1222,0.893,KOR
16,Bulgaria,15,2,13,0,2,0,1,5,7,7,13,41,0.317,1126,1296,0.868,BUL
